game_slug,version_token_kaggle,full_game_id_kaggle,role,exposure_status_at_freeze,preexposure_reason,split_hash_sha256,game_py_bytes,game_py_sha256,game_py_git_blob_sha1,metadata_json_bytes,metadata_json_sha256,metadata_json_git_blob_sha1,version_dir_git_tree_sha1_reconstructed,mirror_version_token,mirror_game_py_git_blob_sha1,mirror_metadata_json_git_blob_sha1,mirror_py_match,mirror_metadata_match
ls20,9607627b,ls20-9607627b,DEVELOPMENT,PREEXPOSED,current replay reasoning and secondary source exposed mechanics/solver characterization,54cc30331a0b7e29baddd314962fb5b9e9a97767c92b4b4df345bee97b3e2876,104880,9607627b3d85bdb21ff28b40fefaa6a873691175981c6351b7e5a6637416f9d5,a2a40ac8d15c4594bf9ec62ba8b97b4a4f98382e,298,181e2f8a540962461a1c799160bdd11963d7276d6c42a368324dd84f3573803f,43867361a3c306c25660372087afefe9a04ef783,f418d8806b70b91ade50c8a20cef798acf605066,9607627b,8bdb975d0b3997069993840411358cad8bd7e9d5,48779317875852593f18323ef7986a1674d84329,false,false
m0r0,492f87ba,m0r0-492f87ba,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,4420cb9658734acad4d0ae78c82e6fc502573fa4b96b412b0741da8ae8a55d4d,39574,492f87bab9b8cb3a9414becb7e9cd5a35be2de4b176596dbdec12aa88ed8ab51,a38df6115539f7e30935feb80752d3e8f4356e63,296,e51621b22f04fff37f6899c9d855adcd09a08ed8a3c663a94c0d4ac4a81e4e59,f0fa80f2a5e767d98f658ac2070fd2982e36589b,b87a4a489e5af2e2db491f35c76187427786e58b,492f87ba,d9a9a388e12ed18878837b470e99205a25751bcc,9350723395e6c2633305c6eeaf08a3a06c5f2fe3,false,false
r11l,495a7899,r11l-495a7899,DEVELOPMENT,PREEXPOSED,secondary source exposed relative human difficulty / solve-rate,f8ed6b21f51784fea9eb50d6bc7c1b73713bdbd5dde773fa65ba50875f0a4a16,188150,495a7899b016e043ad59e4a05a8ea9bbe81b8d2763df6f9dbef7fde5e2d6d33f,56ae50e3119960ff55eebb4613f7fcce0264c17f,284,37a0ea9f76955b4177a550b6ac5cbd4e6a39907961f967ce4c2b006598161f93,44c83678120ed34222f96974b4dd1d9b5f21976e,cf5c0f72bb491ec7ebfb68d9095baafecf0ced35,495a7899,d42216caaa5d652d3c8e98a22379341896763565,39f5654079c1f2dcf70cb612338c6bad06bba0c0,false,false
re86,8af5384d,re86-8af5384d,DEVELOPMENT,CLEAN_DEV_SELECTED,,a6f61cce928dd14c51d0eecb2b42cd0e586677792e24e27dae0ac6c4de25f798,239075,8af5384d7f9bfdd6867edeb30550c20ba12b7cc9d4126acb35e68440c3447f04,d09589cd7379ff676c271e115f23db72a4bd9b30,314,10a8855e1e9f03d150f95749a1354b6159516e36726a76ee740add6c399b03e3,475e99ad1ee2fe9f38d12a1c6a28ed36d07c1ed0,1ae7dc0d69de9b1b5999012f34e709ce54bb98df,8af5384d,3d6fd8ab88728fca32da009976da5d0cc8aa315b,8b08728ac85d9feeb55c16db1721849bb9a5c87a,false,false
s5i5,18d95033,s5i5-18d95033,DEVELOPMENT,CLEAN_DEV_SELECTED,,cd9d19c74224915455cd9afe1e5a031bc7a709087c8b6390c9e23e298ae1eb7a,168955,18d950333a006e984941ceaa16cdc4dc8dca8ca26cb82194198759089aac5965,5ad6ac061915098331962beb4864057258d10763,302,1b4f3bfa7472ae0d9071f83183ecdcde04fa041e1530d868964829b5f7ed4a68,f39956e93ed1b16cf16882a5ce25f3a5fd682b24,09e4aceb187eabdd14523ecf1e03a26b1f3e82fe,18d95033,0784038478c5a94793c7834eb225ed3f6431d37e,1e59b9dd5c89ec3aec5916a070ec83f6eea9917a,false,false
sb26,7fbdac44,sb26-7fbdac44,DEVELOPMENT,CLEAN_DEV_SELECTED,,fbf4ab26e81a14ce4da18f825f7453d24a17de1f3c07e200f479538eefca01c4,63992,7fbdac44f407cf63a682b4dc313769227f3a8a9d423287d096e24d72d00d9784,e0df787bdbe36746d0fd4e264bb9fb8e61de333b,309,a131de610360392ae58d7c2bbf892557cb5ed2afdbea535cffb7c52077895c40,2402c16a5757a9f80976f57ffd063efac980215c,8648dc3d00f34a21187e4b4590ecf4eaeaeb176f,7fbdac44,91b6a11be668dfdec597809a44b365aa7bed6cd0,df4aa46f1c86a419a97444e4abee2edcdd1f4607,false,false
sc25,635fd71a,sc25-635fd71a,DEVELOPMENT,CLEAN_DEV_SELECTED,,b803b0287115b27a9addb9a621561c20d7510ed619e76983ef38b5b752082c96,225958,635fd71a8670ff1c9c93ed9d2ebaaf333aca4964266a0563d5337ff32eb4340e,b92abad5f6f2e24dc568abc68a607a87698c6583,293,07fd2772925d73810fd3f3afb11a441e2f66f6ebe050dc684a2269111b056510,303719d7707a283f8dd3dab847e7981981520ef1,b8ba007c36c3f48c35a85f2d75c00d9d10a21bcc,635fd71a,aa4c10b063268c722b7b37687687c6e857f8f3d4,d1863cb4259d0d17798720aa50ead705b78b25fa,false,false
sk48,d8078629,sk48-d8078629,DEVELOPMENT,CLEAN_DEV_SELECTED,,fde567b442eb35ac2b520fbaa923d1bc31fde8ea6933c925ec3efb7ea54e1eba,44635,d8078629ec82e3f66d70423ad188969d36cecaecf0d96d8a4496210042573a80,a5ed6f217d464fc4aee8e432a7e178fe64609cb3,315,81b0cb7a0e2b1f6196209b9f06145617d10d3d56206692b27ce70b9e9d54e0be,fc68caa24d467b49080cc03e460b3990aaa43e16,01e36d2f554b92a0f9c89ec23b7696011ff3c5ee,d8078629,d152166ce387cbff079506a94d796ae0ec1e878a,4e314f6fbdfa20e3ba421220fbeded4a4eabf6c2,false,false
sp80,589a99af,sp80-589a99af,DEVELOPMENT,PREEXPOSED,"secondary source exposed baseline counts, difficulty, and an action-remapping mechanic",197861ccb69b55ecfa20c9ecbcdb9d00433d7ea2f3c7e294bc69369cb01149b6,39981,589a99af30f07879d044c56c88a2e9882fe04e6f13e9f943f5195c81d3b85a1f,14ca66ac1b73c91b8562c79e42887337f0975504,295,01cd99e417ab864aeef2e6b7629b17d002b4489075449e8f956f04a7146308e3,78d7b532a57eb22b182e58bc7ca36faa6ac70ead,ad8d1aabc39a5a0728185199311000b13066da76,589a99af,298244ce0eed7b90eb783317b5062bb7a55ee87d,12b3ee2b4f171ab2b045a48b0bab0f2652075b53,false,false
su15,1944f8ab,su15-1944f8ab,DEVELOPMENT,PREEXPOSED,secondary source exposed relative human difficulty / solve-rate,364b68f212af1b4951dc572b37ad30a6393827a765740e5b66a8c042dc8ed3ad,88005,1944f8aba6f2f8860d991745ba768131f02d918bcd5465466e85fcb2726d115a,ed1f073f6aafb4001f263695ac23ac05df67dac4,308,5465b9b5d13effcf1d63950ed5a29e17f80ca194645b582ad5a6e7ecd4c9bd87,35416f022d6a4dda569d5540192b5f14116c392e,17f344bb725c3d38e76552f13548328039a40f7d,1944f8ab,620e6c9edd4ddb852ee7153c97df02926a142701,d45a466791c514db5b7a38a0ef7558cf7e3dac6a,false,false
tn36,ef4dde99,tn36-ef4dde99,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,00be11d6879a4b3e5c0f12f710c658287e8c6fafa6b18717645a789e1093f282,165101,ef4dde99174ca5d753809f6f193177d8e25762b5fa58c9919df8458d8b69ff23,691e15b1a2d1df81d9807cbcda1f2b32db1744bf,291,95402f8561ed3316e46a145095e5be3a91970dbccae0c9cb0bb4a54833b0e71d,92d8d9502e1c2e4dcbbdf1716afa51a641a89745,56bfb3a6355323e0e5873e1ca6497068f8527703,ef4dde99,5c1eae78f7c8d22f8cf78cbdf5fe7a8005a9a90a,ee53158019efec91eddde9deb680a9c6cf05b22c,false,false
tr87,cd924810,tr87-cd924810,SEALED_HOLDOUT,CLEAN_AT_FREEZE,,3a4d2c09ab0c318d5b5eb9205374cbe8bb183e63b42f58e592e001ffda88fbad,48068,cd924810f136aab40570209ff54a0069dd2306608414d16012f92d4ce66e23fb,8212654dccc963c366fcbe47d2e252798a4afea3,288,2b398c92a205f605847835aa7a435375249f089baa381689dd04885e3bc84801,b3744fbc07a305fde48aba9b7b5d388f7ff53ce1,506f233353da9eb4ba2a5bc6deca90563124292b,cd924810,8d399ae3c1ced78003c9dec63749987e50dd85a7,ea307fd7b0a3d5ae1b0185614ac4ec8e103b6524,false,false
tu93,0768757b,tu93-0768757b,DEVELOPMENT,PREEXPOSED,secondary source exposed relative human difficulty / solve-rate,ee54f03b8dcd6b6d2d43944329fa50e03e038b7763ca4ae0a71456a699f65962,74044,0768757bb4b39e5a6f8142e32e0f6546a619cee02707f1f52f806b7007f07e57,f7a755e153af9b693768cde7c7480b087f1eeb85,319,708e263553d9eb6efbb8575689c5565ed99e62f47b0be4f3ced17bc9a0d8ee7c,73d441cea5aa512a1726470a29b513ca497b95c0,8941a9bc4323158a2c104afd2d81634285cb89a5,0768757b,749d87af1b80995f74b6adc4e621c6b499129875,003147d75d71d86e51972d5d3ef02ea72ab370c1,false,false
vc33,5430563c,vc33-5430563c,DEVELOPMENT,PREEXPOSED,secondary source exposed baseline counts and specialist/solver characterization,e1f8fbe13906f17aca697fe2ad1309943a0a574d2afda0333ef73a2d91136934,74307,5430563c386ca51ff4c9a84b032579245a0613cb98c477c6eaeaa1086c80a2d5,df1755daa92d686d300b011063eb0c12392f807d,293,7a474852608bf393c7a88fd7f42a0bfbf22496a9d0c4942406feaee5195f401e,04788910f2812212c33af8f456c75b3371fffa33,8f706e569897850388beda6608406894a3a85858,5430563c,8607c3de4100abd84cef1a26747df953647d88ed,9bf66fe5f5207679922f9629378715c9ee660c00,false,false
wa30,ee6fef47,wa30-ee6fef47,DEVELOPMENT,PREEXPOSED,secondary source exposed baseline counts,92af949a9095350dfcaa9a5cbe2f1c42d99f6d0ca4d1914267ac9dfb754d2142,58285,ee6fef476d4db0d64ebe5d37ea9036d41bace2e26974f9b0b2516af0948e202a,1354907a23d69ea8f89781257d71f554d7727c20,315,b6ae84e88913fb68f884615ef1f20e7638aaade6540ff6a8577b831d8df4b780,89ce4bfaff7f4e09245ce246dff7508ce568a34b,0eabfb9c25c20fc85e511241e3aaa25a5f2d97ee,ee6fef47,06efd4a3ba07f2eced2100db08a5fa931c2bfcda,338c0d589564a2fdcfc5fe1fdc322a5bfbf1d631,false,false
